cid,course_code,serial_no,course_name,department,reg_sel,credits,restrict,time,location,instructor,year,term,quota,authorize_quota,interschool_quota,english,dept_code,note
176,0SUG531,1096,大學入門,通識,通,2,◎限大一修習◎限地理系選修,三 3-4,本部 樸401,洪立三,110,1,50,5,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
177,0SUG531,1097,大學入門,通識,通,2,◎限大一修習◎限國文系選修,三 3-4,本部 正204,陳炫瑋,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
178,0SUG532,1098,大學入門,通識,通,2,◎限大一修習◎限數學系選修,三 3-4,公館 Ｂ103,郭庭榕,110,1,50,20,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
179,0SUG532,1099,大學入門,通識,通,2,◎限大一修習◎限物理系選修,三 3-4,公館 Ｆ100,蔡志申,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
180,0SUG532,1100,大學入門,通識,通,2,◎限大一修習◎限化學系選修,三 3-4,公館 Ｅ301,李位仁 劉沂欣,110,1,60,20,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
181,0SUG532,1101,大學入門,通識,通,2,◎限大一修習◎限生科系選修,三 3-4,公館 Ｅ201,賴韻如,110,1,60,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
182,0SUG532,1102,大學入門,通識,通,2,◎限大一修習◎限地科系選修,三 3-4,公館 Ｓ404,曾瑋玲,110,1,50,5,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
183,0SUG532,1103,大學入門,通識,通,2,◎限大一修習◎限資工系選修,二 6-7,公館 理圖001,蔣宗哲,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
184,0SUG533,1104,大學入門,通識,通,2,◎限大一修習◎限機電系「　」選修,三 3-4,本部 工501,程金保,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
185,0SUG533,1105,大學入門,通識,通,2,◎限大一修習◎限機電系「智能鑄造產學攜手專班」選修,五 3-4,本部 工511,程金保,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
186,0SUG534,1106,大學入門,通識,通,2,◎限大一修習◎限體育系選修,五 6-7,本部 正201,陳勇志,110,1,50,5,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
187,0SUG534,1107,大學入門,通識,通,2,◎限大一修習◎限體育系選修,五 6-7,本部 誠109,林靜萍,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
188,0SUG534,1108,大學入門,通識,通,2,◎限大一修習◎限競技系選修,四 1-2,公館 理圖002,石明宗,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
189,0SUG535,1109,大學入門,通識,通,2,◎限大一修習◎限美術系選修,四 8-9,本部 美101,李君毅,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
190,0SUG535,1110,大學入門,通識,通,2,◎限大一修習◎限美術系選修,三 8-9,本部 美101,蔡芷芬,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
191,0SUG535,1111,大學入門,通識,通,2,◎限大一修習◎限設計系選修,四 8-9,本部 設計系2A教室,薛佑廷,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
192,0SUG536,1112,大學入門,通識,通,2,◎限大一修習◎限音樂系選修,二 3-4,本部 綜202演講廳,吳佩蓉,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
193,0SUG536,1113,大學入門,通識,通,2,◎限大一修習◎限表演學位學程選修,二 7-8,本部 誠104,范聖韜,110,1,50,4,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
194,0SUG537,1114,大學入門,通識,通,2,◎限大一修習◎限企管系選修,三 9-10,本部 誠109,許書瑋,110,1,60,16,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
195,0SUG538,3326,大學入門,通識,通,2,◎限大一修習◎限東亞系選修,三 9-10,本部 誠206,林昌平,110,1,50,5,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
196,0SUG538,1115,大學入門,通識,通,2,◎限大一修習◎限華語系「國際華語與文化組」選修,三 3-4,本部 樸403,王慧娟,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
197,0SUG538,1116,大學入門,通識,通,2,◎限大一修習◎限華語系「應用華語文學組」選修,一 3-4,本部 誠109,陳嘉凌,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
198,00UA744,0185,基礎華語（一）,共同科,選,2,◎限外籍生修習◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,一 A-B,本部 誠204,未定,110,1,30,0,0,"",CU,""
